solver,alpha,fraction
ours,0,0.000000
ours,0.1,0.000000
ours,0.104737,0.000000
ours,0.109699,0.000000
ours,0.114895,0.000000
ours,0.120338,0.000000
ours,0.126038,0.000000
ours,0.132009,0.000000
ours,0.138262,0.000000
ours,0.144812,0.000000
ours,0.151672,0.000000
ours,0.158857,0.000000
ours,0.166382,0.000000
ours,0.174263,0.000000
ours,0.182518,0.000000
ours,0.191164,0.000000
ours,0.20022,0.000000
ours,0.209705,0.000000
ours,0.219639,0.000000
ours,0.230043,0.000000
ours,0.24094,0.000000
ours,0.252354,0.000000
ours,0.264308,0.000000
ours,0.276829,0.000000
ours,0.289942,0.000000
ours,0.303677,0.000000
ours,0.318063,0.000000
ours,0.333129,0.000000
ours,0.34891,0.000000
ours,0.365438,0.000000
ours,0.382749,0.000000
ours,0.400881,0.000000
ours,0.419871,0.000000
ours,0.43976,0.000000
ours,0.460592,0.000000
ours,0.482411,0.000000
ours,0.505263,0.000000
ours,0.529198,0.000000
ours,0.554266,0.000000
ours,0.580523,0.000000
ours,0.608022,0.000000
ours,0.636825,0.000000
ours,0.666992,0.000000
ours,0.698588,0.000000
ours,0.731681,0.000000
ours,0.766341,0.000000
ours,0.802643,0.000000
ours,0.840665,0.000000
ours,0.880488,0.000000
ours,0.922198,0.000000
ours,0.965883,0.000000
ours,1.01164,0.000000
ours,1.05956,0.000000
ours,1.10975,0.000000
ours,1.16232,0.000000
ours,1.21738,0.000000
ours,1.27505,0.000000
ours,1.33545,0.000000
ours,1.39871,0.000000
ours,1.46497,0.000000
ours,1.53437,0.000000
ours,1.60705,0.000000
ours,1.68318,0.000000
ours,1.76291,0.000000
ours,1.84642,0.000000
ours,1.93389,0.000000
ours,2.0255,0.021245
ours,2.12145,0.040879
ours,2.22195,0.043810
ours,2.3272,0.045568
ours,2.43744,0.052454
ours,2.55291,0.055385
ours,2.67384,0.058022
ours,2.8005,0.060073
ours,2.93317,0.062271
ours,3.07211,0.068132
ours,3.21764,0.070037
ours,3.37006,0.071941
ours,3.52971,0.072381
ours,3.69691,0.077949
ours,3.87204,0.079267
ours,4.05546,0.080000
ours,4.24757,0.083516
ours,4.44878,0.086886
ours,4.65953,0.089524
ours,4.88025,0.092601
ours,5.11143,0.095385
ours,5.35357,0.099634
ours,5.60717,0.104908
ours,5.87279,0.109451
ours,6.15099,0.113553
ours,6.44236,0.120440
ours,6.74754,0.127326
ours,7.06718,0.134212
ours,7.40196,0.140659
ours,7.7526,0.147839
ours,8.11984,0.155604
ours,8.50449,0.164542
ours,8.90735,0.174359
ours,9.3293,0.184322
ours,9.77124,0.195751
ours,10.2341,0.203663
ours,10.7189,0.209377
ours,11.2267,0.213480
ours,11.7585,0.219927
ours,12.3155,0.227253
ours,12.8989,0.235165
ours,13.5099,0.240879
ours,14.1499,0.248205
ours,14.8202,0.257436
ours,15.5223,0.264762
ours,16.2576,0.271062
ours,17.0277,0.279560
ours,17.8343,0.289817
ours,18.6791,0.296410
ours,19.564,0.304322
ours,20.4907,0.311209
ours,21.4614,0.317656
ours,22.4781,0.326300
ours,23.5429,0.332454
ours,24.6581,0.339927
ours,25.8262,0.348571
ours,27.0496,0.358535
ours,28.331,0.366740
ours,29.673,0.373187
ours,31.0787,0.380806
ours,32.5509,0.388425
ours,34.0929,0.396190
ours,35.7079,0.401612
ours,37.3994,0.411575
ours,39.171,0.418315
ours,41.0266,0.425788
ours,42.97,0.433260
ours,45.0056,0.441905
ours,47.1375,0.449231
ours,49.3705,0.453919
ours,51.7092,0.459780
ours,54.1587,0.465055
ours,56.7243,0.471941
ours,59.4113,0.479707
ours,62.2257,0.486300
ours,65.1734,0.494652
ours,68.2607,0.500073
ours,71.4943,0.511502
ours,74.881,0.514286
ours,78.4282,0.517216
ours,82.1434,0.522344
ours,86.0346,0.526886
ours,90.1102,0.531722
ours,94.3788,0.535824
ours,98.8496,0.539194
ours,103.532,0.542125
ours,108.437,0.545055
ours,113.573,0.548425
ours,118.953,0.551795
ours,124.588,0.554286
ours,130.49,0.557949
ours,136.672,0.561172
ours,143.146,0.562198
ours,149.927,0.563810
ours,157.029,0.565128
ours,164.468,0.565861
ours,172.259,0.567033
ours,180.419,0.567473
ours,188.965,0.569377
ours,197.917,0.571575
ours,207.292,0.572308
ours,217.112,0.572601
ours,227.397,0.572601
ours,238.169,0.572601
ours,249.451,0.572601
ours,261.268,0.572601
ours,273.644,0.572601
ours,286.607,0.572601
ours,300.184,0.572601
ours,314.404,0.572601
ours,329.297,0.572601
ours,344.896,0.572601
ours,361.234,0.572601
ours,378.346,0.572601
ours,396.269,0.572601
ours,415.04,0.572601
ours,434.701,0.572601
ours,455.294,0.572601
ours,476.861,0.572601
ours,499.451,0.572601
ours,523.11,0.572601
ours,547.89,0.572601
ours,573.844,0.572601
ours,601.028,0.572601
ours,629.499,0.572601
ours,659.319,0.572601
ours,690.551,0.572601
ours,723.263,0.572601
ours,757.525,0.572601
ours,793.41,0.572601
ours,830.994,0.572601
ours,870.359,0.572601
ours,911.589,0.572601
ours,954.772,0.572601
ours,1000,0.572601
newuoa,0,0.000000
newuoa,0.1,0.005128
newuoa,0.104737,0.005128
newuoa,0.109699,0.005128
newuoa,0.114895,0.005128
newuoa,0.120338,0.005128
newuoa,0.126038,0.005128
newuoa,0.132009,0.005128
newuoa,0.138262,0.005128
newuoa,0.144812,0.005128
newuoa,0.151672,0.005128
newuoa,0.158857,0.005128
newuoa,0.166382,0.005128
newuoa,0.174263,0.005128
newuoa,0.182518,0.010256
newuoa,0.191164,0.010256
newuoa,0.20022,0.010256
newuoa,0.209705,0.010256
newuoa,0.219639,0.010256
newuoa,0.230043,0.010256
newuoa,0.24094,0.010256
newuoa,0.252354,0.010256
newuoa,0.264308,0.010256
newuoa,0.276829,0.010256
newuoa,0.289942,0.015385
newuoa,0.303677,0.015385
newuoa,0.318063,0.015385
newuoa,0.333129,0.015385
newuoa,0.34891,0.015385
newuoa,0.365438,0.015385
newuoa,0.382749,0.015385
newuoa,0.400881,0.015385
newuoa,0.419871,0.015385
newuoa,0.43976,0.015385
newuoa,0.460592,0.015385
newuoa,0.482411,0.015385
newuoa,0.505263,0.015385
newuoa,0.529198,0.015385
newuoa,0.554266,0.015385
newuoa,0.580523,0.015385
newuoa,0.608022,0.015385
newuoa,0.636825,0.015385
newuoa,0.666992,0.015385
newuoa,0.698588,0.015385
newuoa,0.731681,0.015385
newuoa,0.766341,0.015385
newuoa,0.802643,0.015385
newuoa,0.840665,0.015385
newuoa,0.880488,0.015385
newuoa,0.922198,0.015385
newuoa,0.965883,0.015385
newuoa,1.01164,0.020513
newuoa,1.05956,0.020513
newuoa,1.10975,0.020513
newuoa,1.16232,0.020513
newuoa,1.21738,0.020513
newuoa,1.27505,0.020513
newuoa,1.33545,0.020513
newuoa,1.39871,0.020513
newuoa,1.46497,0.020513
newuoa,1.53437,0.020513
newuoa,1.60705,0.020513
newuoa,1.68318,0.020513
newuoa,1.76291,0.020513
newuoa,1.84642,0.020513
newuoa,1.93389,0.030769
newuoa,2.0255,0.051868
newuoa,2.12145,0.061978
newuoa,2.22195,0.081465
newuoa,2.3272,0.090549
newuoa,2.43744,0.093187
newuoa,2.55291,0.095531
newuoa,2.67384,0.099048
newuoa,2.8005,0.107839
newuoa,2.93317,0.111355
newuoa,3.07211,0.113407
newuoa,3.21764,0.117070
newuoa,3.37006,0.118095
newuoa,3.52971,0.120733
newuoa,3.69691,0.121758
newuoa,3.87204,0.128205
newuoa,4.05546,0.132015
newuoa,4.24757,0.134066
newuoa,4.44878,0.136117
newuoa,4.65953,0.137436
newuoa,4.88025,0.138901
newuoa,5.11143,0.139341
newuoa,5.35357,0.139634
newuoa,5.60717,0.141245
newuoa,5.87279,0.143004
newuoa,6.15099,0.145201
